step,repetition,drift,failure_streak,confidence
1,0.0,0.0,1,0.7
2,0.0,0.0,2,0.4
3,0.0,0.0,3,0.10000000000000009
3,0.0,0.0,0,1.0
4,0.0,0.0,0,1.0
5,0.0,0.0,1,0.7
1,0.0,0.0,1,0.7
2,0.0,0.0,2,0.4
3,0.0,0.0,3,0.10000000000000009
3,0.0,0.0,3,0.10000000000000009
3,0.0,0.0,0,1.0
4,0.0,0.0,1,0.7
5,0.0,0.0,0,1.0
6,0.3333333333333333,0.0,0,0.9666666666666667
